MapUrl,Company Name,Address,Address 2,EmailAddress,Phone Number,Website Link,Rating,Total Reviews,OpeningHours,Image Url,Latitude,Longitude,Plus Code,Category
https://www.google.com/maps/place/SEO+Kent/@51.2287537;0.7426441;9z/data=!3m1!4b1!4m6!3m5!1s0x47ded556c6eb7e8b:0x71053640e524edb6!8m2!3d51.2287536!4d0.7426441!16s%2Fg%2F11cn5m165f?authuser=0,SEO Kent,,,info@seokent.net; blog@seokent.net,+44 1795 342068,seokent.net,5,19 reviews,Tuesday    9?am–5?pm          Wednesday    9?am–5?pm          Thursday    9?am–5?pm          Friday    9?am–5?pm          Saturday    Closed          Sunday    Closed          Monday    9?am–5?pm,https://lh5.googleusercontent.com/p/AF1QipM8W1uEsg3ulZVoGNpKaucEhxW7OrEast7nH2Fh=w408-h408-k-no,51.2287537,0.7426441,,Internet marketing service
https://www.google.com/maps/place/DigiVisi+-+SEO+Company+Kent/@51.3666281;1.1337725;17z/data=!3m1!4b1!4m6!3m5!1s0x48761d48cbe73827:0x6bc77984c972a68a!8m2!3d51.3666281!4d1.1337725!16s%2Fg%2F11r8mm6tc1?authuser=0,DigiVisi - SEO Company Kent,29 Douglas Rd; Herne Bay CT6 6AE; United Kingdom,,hello@digivisi.co.uk; nick@digivisi.co.uk,+44 1227 678056,digivisi.co.uk,5,14 reviews,Tuesday    9?am–5?pm          Wednesday    9?am–5?pm          Thursday    9?am–5?pm          Friday    9?am–5?pm          Saturday    Closed          Sunday    Closed          Monday    9?am–5?pm,https://lh5.googleusercontent.com/p/AF1QipP_YGewvay5sT_kXwnBOPkRBu-23T7K2gHnHpht=w408-h306-k-no,51.3666281,1.1337725,948M+MG Herne Bay; United Kingdom,Internet marketing service
https://www.google.com/maps/place/Kayo+Digital/@51.312039;0.7276193;17z/data=!3m1!4b1!4m6!3m5!1s0x47df2b222a997f7b:0x13e8a4a8fbcee069!8m2!3d51.312039!4d0.7276193!16s%2Fg%2F11kln6w_dt?authuser=0,Kayo Digital,Kent Science Park; 29; The Innovation Building; Sittingbourne ME9 8HL; United Kingdom,,hello@kayo.digit; hello@rocket.uk.com; sales@kayo.digit,+44 1795 255600,kayo.digital,4.9,28 reviews,Tuesday    9?am–5:30?pm          Wednesday    9?am–5:30?pm          Thursday    9?am–5:30?pm          Friday    9?am–5:30?pm          Saturday    Closed          Sunday    Closed          Monday    9?am–5:30?pm,https://lh5.googleusercontent.com/p/AF1QipPmd9CC_ufeJL0itupg2122O3btmQ8nfJ3a71vw=w408-h300-k-no,51.312039,0.7276193,8P6H+R2 Sittingbourne; United Kingdom,Internet marketing service
https://www.google.com/maps/place/Social+Thriver+-+Digital+marketing+made+easy/@51.1963962;0.7426441;9z/data=!3m1!4b1!4m6!3m5!1s0x47df33aad84ba807:0xc5f582b42096710b!8m2!3d51.1963962!4d0.7426441!16s%2Fg%2F11pb7d3_xq?authuser=0,Social Thriver - Digital marketing made easy,,,stinfo@socialthriver.co.uk,,socialthriver.co.uk,5,9 reviews,Tuesday    9?am–7?pm          Wednesday    9?am–7?pm          Thursday    9?am–7?pm          Friday    9?am–7?pm          Saturday    9?am–2?pm          Sunday    Closed          Monday    9?am–7?pm,https://lh5.googleusercontent.com/p/AF1QipOi6LqcWaI01q7xcCs6jI1JrWNgFzm1Ysh_odtN=w408-h407-k-no,51.1963962,0.7426441,,Marketing agency
https://www.google.com/maps/place/Site+and+Search+Ltd/@47.73855;12.5088275;4z/data=!3m1!4b1!4m6!3m5!1s0x47df35438ee00ce5:0xf03d340281ec51f8!8m2!3d47.73855!4d12.5088275!16s%2Fg%2F11hkpr7s_s?authuser=0,Site and Search Ltd,,,hello@siteandsearch.co.uk,+44 7880 704348,siteandsearch.co.uk,5,7 reviews,Tuesday    9?am–5?pm          Wednesday    9?am–5?pm          Thursday    9?am–5?pm          Friday    9?am–4?pm          Saturday    Closed          Sunday    Closed          Monday    9?am–5?pm,https://lh5.googleusercontent.com/p/AF1QipN6iB36SoVW4rTPRIOB3tbX7tSw5BXzT43KfKyw=w408-h408-k-no,47.73855,12.5088275,,Marketing agency
https://www.google.com/maps/place/Blue+Moxie+Digital+Marketing+Agency/@51.2730242;0.5210896;17z/data=!3m1!4b1!4m6!3m5!1s0x47d8cd2bc4b3c189:0x8f635a3922f86a84!8m2!3d51.2730242!4d0.5210896!16s%2Fg%2F11h5vfxxph?authuser=0,Blue Moxie Digital Marketing Agency,Blue Moxie The WonderHub Sunley House 14-19; Middle Row; Maidstone ME14 1TG; United Kingdom,,,+44 1622 933829,bluemoxie.co.uk,5,15 reviews,Tuesday    9?am–5?pm          Wednesday    9?am–5?pm          Thursday    9?am–5?pm          Friday    9?am–5?pm          Saturday    Closed          Sunday    Closed          Monday    9?am–5?pm,https://lh5.googleusercontent.com/p/AF1QipM8via1KNDN3VmoYbAnH_UaiccydgnkOHEgZ6oU=w426-h240-k-no,51.2730242,0.5210896,7GFC+6C Maidstone; United Kingdom,Marketing agency
https://www.google.com/maps/place/Tangible+Digital/@51.2710046;0.5239378;17z/data=!3m1!4b1!4m6!3m5!1s0x47df3177ec3eebd3:0xecc4161ecc4192f0!8m2!3d51.2710046!4d0.5239378!16s%2Fg%2F11hz2br8r9?authuser=0,Tangible Digital,113; Kestrel House; Knightrider St; Maidstone ME15 6LU; United Kingdom,,mike@tangibledigital.co.uk,+44 7593 450742,tangibledigital.co.uk,5,12 reviews,Tuesday    7:30?am–6?pm          Wednesday    7:30?am–6?pm          Thursday    7:30?am–6?pm          Friday    7:30?am–6?pm          Saturday    Closed          Sunday    Closed          Monday    7:30?am–6?pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e3fVKkb_1dLukTgNqklqbA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=222.27257&pitch=0&thumbfov=100,51.2710046,0.5239378,7GCF+CH Maidstone; United Kingdom,Marketing agency
https://www.google.com/maps/place/Reddico/@51.1883812;0.3537411;17z/data=!3m1!4b1!4m6!3m5!1s0x47df480ee9fe5689:0xe8cc482ec06095b3!8m2!3d51.1883812!4d0.3537411!16s%2Fg%2F11c504qkqh?authuser=0,Reddico,Moat Farm Oast; Five Oak Green; Tonbridge TN12 6RR; United Kingdom,,hello@reddico.co.uk,+44 1892 320800,reddico.co.uk,5,37 reviews,Tuesday    9?am–5:30?pm          Wednesday    9?am–5:30?pm          Thursday    9?am–5:30?pm          Friday    9?am–5:30?pm          Saturday    Closed          Sunday    Closed          Monday    9?am–5:30?pm,https://lh5.googleusercontent.com/p/AF1QipPlO45GJ11VNAkAariKny0Y-yMg_P1Ne8DGF-0f=w408-h272-k-no,51.1883812,0.3537411,59Q3+9F Tonbridge; United Kingdom,Marketing agency
https://www.google.com/maps/place/3SIX5+Digital/@51.2705673;0.5240363;17z/data=!3m1!4b1!4m6!3m5!1s0x47d8cd8de238e8a5:0xb4a50b1141ce13cb!8m2!3d51.2705673!4d0.5240363!16s%2Fg%2F11gyysbj2z?authuser=0,3SIX5 Digital,Bizspace; Knightrider St; Maidstone ME15 6LP; United Kingdom,,admin@3six5digital.co.uk,+44 808 186 6365,3six5digital.co.uk,5,10 reviews,,https://lh5.googleusercontent.com/p/AF1QipMS7uR8NpchCvMuhci-0QsHeCcGeVmRYjqNXJRJ=w408-h324-k-no,51.2705673,0.5240363,7GCF+6J Maidstone; United Kingdom,Design agency
https://www.google.com/maps/place/Tale+Digital+Ltd/@51.1944244;0.2785192;17z/data=!3m1!4b1!4m6!3m5!1s0x47df4f4caf3c7101:0x62980f9f6ad5d2e8!8m2!3d51.1944244!4d0.2785192!16s%2Fg%2F11c2qg__s1?authuser=0,Tale Digital Ltd,8 Whitefriars Wharf; Tonbridge TN9 1QP; United Kingdom,,hello@taledigital.co.uk,,taledigital.co.uk,5,14 reviews,Tuesday    8?am–5?pm          Wednesday    8?am–5?pm          Thursday    8?am–5?pm          Friday    8?am–5?pm          Saturday    Closed          Sunday    Closed          Monday    8?am–5?pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xp_hB5VqyZkUcB4KpHbMvQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.7704&pitch=0&thumbfov=100,51.1944244,0.2785192,57VH+QC Tonbridge; United Kingdom,Internet marketing service
